"date","trap.visit.id","station","catch.raw.id","release.id","species","count","at.capture.run","final.run","final.run.method","life.stage","fork.length","weight","mort","fish.origin","mark.type","catch.raw.comments","specimen.type.id","physical.specimen.code","specimen.comments","calendar.year","water.year"
2017-02-09,8317,"ST004L1B",78357,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78358,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78416,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78360,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78398,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78361,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78363,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78375,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78365,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78366,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78367,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78368,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",32,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78369,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78370,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78371,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78372,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78373,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78374,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78362,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78442,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78430,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78431,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78432,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78433,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78434,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78435,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78436,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78437,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78438,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78439,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78414,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78441,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78427,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78443,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78444,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78445,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",32,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78446,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78447,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78448,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78449,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78450,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",33,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78451,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78452,0,"Chinook salmon",61,"Fall","Fall","Only one run at location","Not recorded",NA,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78453,0,"Chinook salmon",9,"Fall","Fall","Only one run at location","Not recorded",NA,NA,"Yes","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78440,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",32,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78401,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78400,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78402,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",34,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78404,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78405,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78406,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78407,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78408,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78409,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78410,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78411,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78412,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78429,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78415,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78428,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",38,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78417,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",37,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78418,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78419,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",32,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78420,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",35,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
2017-02-09,8317,"ST004L1B",78421,0,"Chinook salmon",1,"Fall","Fall","Only one run at location","Button-up fry",36,NA,"No","Natural","No marks or tags",NA,NA,NA,NA,2017,2017
