releaseID,releaseFishID,forkLength,ReleaseFish.comments
269,2838,34,
269,2837,37,
269,2836,39,
269,2835,35,
269,2834,37,
269,2829,36,
269,2832,38,
269,2821,37,
269,2839,39,
269,2828,38,
269,2827,36,
269,2826,37,
269,2825,35,
269,2824,37,
269,2823,36,
269,2822,37,
269,2833,37,
269,2769,36,
269,2784,39,
269,2778,37,
269,2777,36,
269,2776,38,
269,2775,39,
269,2774,38,
269,2773,35,
269,2772,39,
269,2780,37,
269,2770,36,
269,2781,39,
269,2768,37,
269,2767,37,
269,2766,38,
269,2765,39,
269,2843,35,
269,2888,36,
269,2763,36,
269,2762,36,
269,2771,39,
269,2791,36,
269,2801,37,
269,2800,39,
269,2799,36,
269,2798,36,
269,2797,36,
269,2796,35,
269,2795,35,
269,2794,36,
269,2779,40,
269,2792,38,
269,2802,37,
269,2790,35,
269,2789,35,
269,2788,38,
269,2787,36,
269,2786,36,
269,2785,38,
269,2764,36,
269,2783,39,
269,2793,37,
269,2897,34,
269,2887,37,
269,2906,37,
269,2905,38,
269,2904,38,
269,2903,37,
269,2902,37,
269,2901,35,
269,2900,41,
269,2908,38,
269,2898,36,
269,2909,37,
269,2896,35,
269,2895,37,
269,2894,36,
269,2893,38,
269,2892,37,
269,2891,35,
269,2890,36,
269,2886,40,
269,2899,39,
269,2918,37,
269,2926,37,
269,2840,37,
269,2761,36,
269,2925,35,
269,2924,37,
269,2923,37,
269,2922,35,
269,2921,35,
269,2907,37,
269,2919,36,
269,2885,36,
269,2917,36,
269,2916,37,
269,2915,36,
269,2914,38,
269,2913,33,
269,2912,37,
269,2911,38,
269,2910,35,
269,2920,36,
269,2853,37,
269,2889,36,
269,2862,38,
269,2861,37,
269,2860,36,
269,2859,36,
269,2858,37,
269,2857,38,
269,2856,39,
269,2864,37,
269,2854,37,
269,2865,38,
269,2852,40,
269,2851,37,
269,2850,36,
269,2849,39,
269,2848,40,
269,2847,36,
269,2846,36,
269,2845,36,
269,2855,37,
269,2874,37,
269,2884,39,
269,2883,37,
269,2882,37,
269,2881,35,
269,2880,37,
269,2879,35,
269,2878,36,
269,2877,34,
269,2863,36,
269,2875,38,
269,2844,37,
269,2873,37,
269,2872,37,
269,2871,35,
269,2870,37,
269,2869,39,
269,2868,37,
269,2867,37,
269,2866,37,
269,2876,38,
269,2645,39,
269,2654,36,
269,2653,36,
269,2652,36,
